@id	name	@center	@lat	@lon	addr:city	addr:street	addr:housenumber	addr:postcode	opening_hours
361420547			54.1595392	10.4194298	Plön	Lübecker Straße	3	24306	
388254358			54.3313274	10.1821759	Kiel	Heikendorfer Weg	47	24149	
468040051			53.7867303	9.4235081	Glückstadt	Große Deichstraße	8	25348	
516208565			54.7889329	9.4464466	Flensburg	Bismarckstraße	66a	24943	
529005413			54.2227844	11.0832596					
614676830			54.3062655	10.1222697					
856435983			54.5242522	9.5577375					
870742485			54.3098261	9.6568908	Rendsburg	Gerhardstraße	3	24768	
937644098			54.3010962	9.6661990	Rendsburg	Jungfernstieg	23	24768	
1327917536			54.4916445	8.8665815					
2282825259			54.9091180	8.3023931	Sylt	Strandstraße	22	25980	
2344139546	Lornsen-Apotheke		54.4794806	9.0627633					
2408093587			54.3293831	10.1409951	Kiel	Arnold-Heller-Straße	3	24105	Mo-Sa 08:00-19:00
2469957255			54.9017687	8.3280847	Sylt	Kiarwai	12	25980	
2538065536			53.7565841	9.6597868					
2876962870			54.3043266	9.6769560	Rendsburg	Kieler Straße	28	24768	
3255191161			54.3182130	9.6395844	Rendsburg	Ostlandstraße	5	24768	
3327163139			54.1946880	9.0953241	Heide	Friedrichstraße	3	25746	
3327163140			54.1963656	9.0947208	Heide	Schuhmacherort	5	25746	
4440571098			53.5803545	9.7039120					
342044333			54.5172052	9.5600967	Schleswig	Lutherstraße	15	24837	
